Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud,,
12/05/2020,,1.0,3.0,59,3.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/05/2020,,1.0,2.0,64,1.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/05/2020,,1.0,3.0,69,2.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/05/2020,,1.0,1.0,67,4.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/05/2020,,1.0,1.0,82,7.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/05/2020,,1.0,2.0,84,6.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/05/2020,,2.0,5.0,61,6.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/05/2020,,1.0,5.0,63,12.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/05/2020,,2.0,6.0,60,12.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/05/2020,,2.0,8.0,66,16.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/05/2020,,2.0,6.0,67,15.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/05/2020,,1.0,2.0,54,,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
24/05/2020,,1.0,2.0,58,,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/05/2020,,1.0,2.0,66,,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/05/2020,,1.0,3.0,64,,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
27/05/2020,,1.0,5.0,65,10.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
28/05/2020,,1.0,7.0,76,12.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
29/05/2020,,2.0,11.0,70,13.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
30/05/2020,,1.0,8.0,73,15.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
31/05/2020,,1.0,7.0,69,8.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
01/06/2020,,1.0,4.0,71,11.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
02/06/2020,,2.0,6.0,70,17.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/06/2020,,1.0,4.0,77,21.0,10.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/06/2020,,1.0,3.0,83,10.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/06/2020,,2.0,8.0,68,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/06/2020,,1.0,4.0,81,23.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/06/2020,,1.0,2.0,54,17.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/06/2020,,1.0,2.0,75,14.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/06/2020,,1.0,2.0,81,12.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/06/2020,,2.0,5.0,82,17.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/06/2020,,2.0,4.0,72,22.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/06/2020,,1.0,1.0,70,12.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/06/2020,,2.0,4.0,81,15.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/06/2020,,2.0,3.0,73,16.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/06/2020,,2.0,3.0,63,14.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/06/2020,,2.0,4.0,62,14.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/06/2020,,2.0,4.0,74,12.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/06/2020,,2.0,6.0,67,14.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/06/2020,,2.0,7.0,74,17.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/06/2020,,2.0,6.0,74,17.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/06/2020,,2.0,4.0,58,16.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/06/2020,,1.0,4.0,70,22.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/06/2020,,2.0,13.0,72,29.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
24/06/2020,,3.0,19.0,63,38.0,11.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/06/2020,,2.0,8.0,76,30.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/06/2020,,2.0,5.0,70,20.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
27/06/2020,,2.0,3.0,48,9.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
28/06/2020,,2.0,3.0,47,9.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
29/06/2020,,3.0,11.0,49,14.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
30/06/2020,,2.0,9.0,67,21.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
01/07/2020,,2.0,6.0,64,21.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
02/07/2020,,2.0,5.0,55,13.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/07/2020,,2.0,4.0,67,16.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/07/2020,,1.0,10.0,68,19.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/07/2020,,3.0,15.0,59,19.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/07/2020,,5.0,8.0,54,20.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/07/2020,,3.0,12.0,61,26.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/07/2020,,8.0,22.0,65,37.0,11.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/07/2020,,2.0,12.0,81,27.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/07/2020,,1.0,6.0,84,21.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/07/2020,,1.0,4.0,80,22.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/07/2020,,1.0,8.0,70,18.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/07/2020,,1.0,3.0,79,17.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/07/2020,,1.0,1.0,83,15.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/07/2020,,1.0,1.0,68,13.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/07/2020,,1.0,2.0,69,15.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/07/2020,,1.0,3.0,68,16.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/07/2020,,2.0,7.0,65,19.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
